,precision,recall,f1-score,support
0,0.923771676300578,0.9493224429181363,0.9363727913576856,53870.0
1,0.9398771114585857,0.9100155660276776,0.9247053215461952,46897.0
accuracy,0.93102900751238,0.93102900751238,0.93102900751238,0.93102900751238
macro avg,0.9318243938795818,0.929669004472907,0.9305390564519405,100767.0
weighted avg,0.9312671519285622,0.93102900751238,0.9309427464843693,100767.0
