,precision,recall,f1-score,support
0,0.9998886331576212,1.0,0.9999443134779945,53870.0
1,1.0,0.9998720600464849,0.9999360259308228,46897.0
accuracy,0.9999404566971329,0.9999404566971329,0.9999404566971329,0.9999404566971329
macro avg,0.9999443165788107,0.9999360300232425,0.9999401697044086,100767.0
weighted avg,0.9999404633282827,0.9999404566971329,0.999940456450399,100767.0
