,precision,recall,f1-score,support
0,0.9117909382804138,0.9488583627250788,0.9299554261802966,53870.0
1,0.9466911764705882,0.9082049378132542,0.9270487920416864,53870.0
accuracy,0.9285316502691665,0.9285316502691665,0.9285316502691665,0.9285316502691665
macro avg,0.929241057375501,0.9285316502691665,0.9285021091109915,107740.0
weighted avg,0.929241057375501,0.9285316502691665,0.9285021091109914,107740.0
