,precision,recall,f1-score,support
0,0.9601786923964188,0.9735288657880081,0.9668076947893335,53870.0
1,0.9690994192597729,0.9536217668507581,0.9612982965231877,46897.0
accuracy,0.9642640943959828,0.9642640943959828,0.9642640943959828,0.9642640943959828
macro avg,0.964639055828096,0.9635753163193831,0.9640529956562606,100767.0
weighted avg,0.9643304020604033,0.9642640943959828,0.9642436187476984,100767.0
