,precision,recall,f1-score,support
0,0.9217054263565891,0.9490811212177465,0.9351929760380464,53870.0
1,0.9394441132966863,0.9073927969806171,0.9231403345120073,46897.0
accuracy,0.9296793593140612,0.9296793593140612,0.9296793593140612,0.9296793593140612
macro avg,0.9305747698266378,0.9282369590991818,0.9291666552750268,100767.0
weighted avg,0.9299610179831111,0.9296793593140612,0.9295836721027635,100767.0
