,precision,recall,f1-score,support
0,0.9999814347244913,0.9998700575459439,0.9999257430337684,53870.0
1,1.0,1.0,1.0,53870.0
2,0.9998886331576212,1.0,0.9999443134779945,53870.0
3,0.9999814367922777,0.9999814367922777,0.9999814367922777,53870.0
4,1.0,1.0,1.0,53870.0
accuracy,0.9999702988676443,0.9999702988676443,0.9999702988676443,0.9999702988676443
macro avg,0.9999703009348779,0.9999702988676443,0.9999702986608081,269350.0
weighted avg,0.9999703009348782,0.9999702988676443,0.999970298660808,269350.0
